,Player,Year,Age,TS%,PTM,ASTM,ORBM,STLM,BLKM,TOVM,USG%,FG%,2P%,3P%,FT%,PTS,year_start,year_end,position,height,weight,birth_date,college,C,PF,PG,PG-SG,SF,SF-SG,SG,SG-PG,Team
149,Kevin Durant,2018-19,30.0,0.631,25.987179487179485,5.858974358974359,0.4230769230769231,0.7435897435897436,1.0769230769230769,2.8846153846153846,29.0,0.521,0.587,0.353,0.885,2027.0,2008,2018,F-G,210.312,240.0,"September 29, 1988",University of Texas at Austin,0,0,0,0,1,0,0,0,GSW
150,Kevin Garnett,1999-00,23.0,0.545,22.925925925925927,4.950617283950617,2.753086419753086,1.4814814814814814,1.5555555555555556,3.308641975308642,27.4,0.497,0.504,0.37,0.765,1857.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
151,Kevin Garnett,2000-01,24.0,0.531,22.02469135802469,4.950617283950617,2.7037037037037037,1.3703703703703705,1.7901234567901234,2.8395061728395063,27.0,0.477,0.486,0.288,0.764,1784.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
152,Kevin Garnett,2001-02,25.0,0.536,21.160493827160494,5.209876543209877,3.0,1.1851851851851851,1.5555555555555556,2.8271604938271606,26.0,0.47,0.484,0.319,0.801,1714.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
153,Kevin Garnett,2002-03,26.0,0.553,22.963414634146343,6.036585365853658,2.975609756097561,1.3780487804878048,1.5731707317073171,2.792682926829268,26.4,0.502,0.513,0.282,0.751,1883.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
154,Kevin Garnett,2003-04,27.0,0.547,24.23170731707317,4.987804878048781,2.9878048780487805,1.4634146341463414,2.1707317073170733,2.5853658536585367,29.6,0.499,0.506,0.256,0.791,1987.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
155,Kevin Garnett,2004-05,28.0,0.567,22.158536585365855,5.682926829268292,3.0121951219512195,1.475609756097561,1.3658536585365855,2.707317073170732,27.1,0.502,0.507,0.24,0.811,1817.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
156,Kevin Garnett,2005-06,29.0,0.589,21.789473684210527,4.052631578947368,2.8157894736842106,1.368421052631579,1.4078947368421053,2.3684210526315788,25.5,0.526,0.532,0.267,0.81,1656.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
157,Kevin Garnett,2006-07,30.0,0.546,22.42105263157895,4.118421052631579,2.4078947368421053,1.1710526315789473,1.6578947368421053,2.6973684210526314,27.4,0.476,0.487,0.214,0.835,1704.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
158,Kevin Garnett,2007-08,31.0,0.588,18.830985915492956,3.436619718309859,1.9014084507042253,1.408450704225352,1.2535211267605635,1.943661971830986,25.5,0.539,0.545,0.0,0.801,1337.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,BOS
159,Kevin Garnett,2008-09,32.0,0.563,15.771929824561404,2.526315789473684,1.368421052631579,1.105263157894737,1.1929824561403508,1.5789473684210527,23.4,0.531,0.534,0.25,0.841,899.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,BOS
160,Kevin Garnett,2009-10,33.0,0.569,14.347826086956522,2.681159420289855,1.1304347826086956,0.9855072463768116,0.8260869565217391,1.463768115942029,22.1,0.521,0.523,0.2,0.837,990.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,BOS
161,Kevin Garnett,2010-11,34.0,0.575,14.873239436619718,2.408450704225352,1.1690140845070423,1.3380281690140845,0.8028169014084507,1.619718309859155,22.3,0.528,0.53,0.2,0.862,1056.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,BOS
162,Kevin Garnett,2011-12,35.0,0.55,15.783333333333333,2.9166666666666665,1.1,0.9333333333333333,1.0166666666666666,1.7833333333333334,24.9,0.503,0.505,0.333,0.857,947.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,1,0,0,0,0,0,0,0,BOS
163,Kevin Garnett,2012-13,36.0,0.535,14.764705882352942,2.338235294117647,1.1029411764705883,1.1470588235294117,0.9117647058823529,1.6176470588235294,24.5,0.496,0.504,0.125,0.786,1004.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,1,0,0,0,0,0,0,0,BOS
164,Kevin Garnett,2013-14,37.0,0.467,6.518518518518518,1.5185185185185186,1.1111111111111112,0.7962962962962963,0.7407407407407407,1.2777777777777777,18.9,0.441,0.445,0.0,0.809,352.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,1,0,0,0,0,0,0,0,BRK
167,Kevin Garnett,2014-15,38.0,0.5206666666666666,7.086018237082066,1.6270516717325227,0.8388382303275921,0.9849712934819318,0.4904086457277947,0.7500506585612968,17.033333333333335,0.501,0.512,0.10333333333333333,0.7096666666666667,215.33333333333334,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
168,Kevin Garnett,2015-16,39.0,0.491,3.210526315789474,1.631578947368421,0.39473684210526316,0.7368421052631579,0.2631578947368421,0.42105263157894735,11.3,0.47,0.474,0.0,0.667,122.0,1996,2016,F-C,186.23280000000003,240.0,"May 19, 1976",,0,1,0,0,0,0,0,0,MIN
169,Kobe Bryant,1999-00,21.0,0.546,22.5,4.893939393939394,1.6363636363636365,1.606060606060606,0.9393939393939394,2.757575757575758,26.8,0.468,0.489,0.319,0.821,1485.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
170,Kobe Bryant,2000-01,22.0,0.552,28.5,4.970588235294118,1.5294117647058822,1.6764705882352942,0.6323529411764706,3.235294117647059,31.8,0.464,0.489,0.305,0.853,1938.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
171,Kobe Bryant,2001-02,23.0,0.544,25.2375,5.475,1.4,1.475,0.4375,2.7875,30.4,0.469,0.489,0.25,0.829,2019.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
172,Kobe Bryant,2002-03,24.0,0.55,30.01219512195122,5.865853658536586,1.2926829268292683,2.207317073170732,0.8170731707317073,3.5121951219512195,32.9,0.451,0.465,0.383,0.843,2461.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
173,Kobe Bryant,2003-04,25.0,0.551,23.953846153846154,5.076923076923077,1.5846153846153845,1.7230769230769232,0.4307692307692308,2.6307692307692307,29.1,0.438,0.463,0.327,0.852,1557.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
174,Kobe Bryant,2004-05,26.0,0.563,27.560606060606062,6.03030303030303,1.4393939393939394,1.303030303030303,0.803030303030303,4.090909090909091,31.7,0.433,0.472,0.339,0.816,1819.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
175,Kobe Bryant,2005-06,27.0,0.559,35.4,4.5,0.8875,1.8375,0.375,3.125,38.7,0.45,0.482,0.347,0.85,2832.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
176,Kobe Bryant,2006-07,28.0,0.58,31.558441558441558,5.363636363636363,0.974025974025974,1.4415584415584415,0.4675324675324675,3.311688311688312,33.6,0.463,0.497,0.344,0.868,2430.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
177,Kobe Bryant,2007-08,29.0,0.576,28.329268292682926,5.378048780487805,1.146341463414634,1.8414634146341464,0.4878048780487805,3.1341463414634148,31.4,0.459,0.49,0.361,0.84,2323.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
178,Kobe Bryant,2008-09,30.0,0.561,26.841463414634145,4.865853658536586,1.0975609756097562,1.4634146341463414,0.45121951219512196,2.5609756097560976,32.2,0.467,0.496,0.351,0.856,2201.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
179,Kobe Bryant,2009-10,31.0,0.545,26.986301369863014,5.0,1.0684931506849316,1.547945205479452,0.273972602739726,3.191780821917808,32.3,0.456,0.487,0.329,0.811,1970.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
180,Kobe Bryant,2010-11,32.0,0.548,25.341463414634145,4.7317073170731705,1.0121951219512195,1.2073170731707317,0.14634146341463414,2.9634146341463414,35.1,0.451,0.487,0.323,0.828,2078.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
181,Kobe Bryant,2011-12,33.0,0.527,27.862068965517242,4.551724137931035,1.1379310344827587,1.1896551724137931,0.3103448275862069,3.5172413793103448,35.7,0.43,0.464,0.303,0.845,1616.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
182,Kobe Bryant,2012-13,34.0,0.57,27.346153846153847,6.012820512820513,0.8461538461538461,1.358974358974359,0.32051282051282054,3.6794871794871793,31.9,0.463,0.51,0.324,0.839,2133.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
183,Kobe Bryant,2013-14,35.0,0.505,13.833333333333334,6.333333333333333,0.3333333333333333,1.1666666666666667,0.16666666666666666,5.666666666666667,28.7,0.425,0.491,0.188,0.857,83.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
184,Kobe Bryant,2014-15,36.0,0.477,22.34285714285714,5.628571428571429,0.7428571428571429,1.3428571428571427,0.2,3.657142857142857,34.9,0.373,0.401,0.293,0.813,782.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,0,0,1,0,LAL
185,Kobe Bryant,2015-16,37.0,0.469,17.59090909090909,2.787878787878788,0.6212121212121212,0.9393939393939394,0.19696969696969696,1.9545454545454546,32.2,0.358,0.41,0.285,0.826,1161.0,1997,2016,G-F,201.16799999999998,212.0,"August 23, 1978",,0,0,0,0,1,0,0,0,LAL
186,LeBron James,2003-04,19.0,0.488,20.936708860759495,5.886075949367089,1.2531645569620253,1.6455696202531647,0.7341772151898734,3.4556962025316458,28.2,0.417,0.438,0.29,0.754,1654.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,0,0,1,0,CLE
187,LeBron James,2004-05,20.0,0.554,27.1875,7.2125,1.3875,2.2125,0.65,3.275,29.7,0.472,0.499,0.351,0.75,2175.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
188,LeBron James,2005-06,21.0,0.568,31.367088607594937,6.594936708860759,0.9493670886075949,1.5569620253164558,0.8354430379746836,3.2911392405063293,33.6,0.48,0.518,0.335,0.738,2478.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
189,LeBron James,2006-07,22.0,0.552,27.333333333333332,6.0256410256410255,1.064102564102564,1.6025641025641026,0.7051282051282052,3.2051282051282053,31.0,0.476,0.513,0.319,0.698,2132.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
190,LeBron James,2007-08,23.0,0.568,30.0,7.1866666666666665,1.7733333333333334,1.84,1.08,3.4,33.5,0.484,0.531,0.315,0.712,2250.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
191,LeBron James,2008-09,24.0,0.591,28.444444444444443,7.246913580246914,1.308641975308642,1.691358024691358,1.1481481481481481,2.9753086419753085,33.8,0.489,0.535,0.344,0.78,2304.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
192,LeBron James,2009-10,25.0,0.604,29.710526315789473,8.56578947368421,0.9342105263157895,1.644736842105263,1.013157894736842,3.4342105263157894,33.5,0.503,0.56,0.333,0.767,2258.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
193,LeBron James,2010-11,26.0,0.594,26.72151898734177,7.012658227848101,1.0126582278481013,1.5696202531645569,0.6329113924050633,3.5949367088607596,31.5,0.51,0.552,0.33,0.759,2111.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,MIA
194,LeBron James,2011-12,27.0,0.605,27.14516129032258,6.241935483870968,1.5161290322580645,1.8548387096774193,0.8064516129032258,3.435483870967742,32.0,0.531,0.556,0.362,0.771,1683.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,MIA
195,LeBron James,2012-13,28.0,0.64,26.789473684210527,7.25,1.2763157894736843,1.6973684210526316,0.881578947368421,2.973684210526316,30.2,0.565,0.602,0.406,0.753,2036.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,1,0,0,0,0,0,0,MIA
196,LeBron James,2013-14,29.0,0.649,27.12987012987013,6.337662337662338,1.051948051948052,1.5714285714285714,0.33766233766233766,3.5064935064935066,31.0,0.567,0.622,0.379,0.75,2089.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,1,0,0,0,0,0,0,MIA
197,LeBron James,2014-15,30.0,0.577,25.26086956521739,7.405797101449275,0.7391304347826086,1.5797101449275361,0.7101449275362319,3.9420289855072466,32.3,0.488,0.536,0.354,0.71,1743.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
198,LeBron James,2015-16,31.0,0.588,25.263157894736842,6.7631578947368425,1.4605263157894737,1.368421052631579,0.6447368421052632,3.276315789473684,31.4,0.52,0.573,0.309,0.731,1920.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
199,LeBron James,2016-17,32.0,0.619,26.405405405405407,8.72972972972973,1.3108108108108107,1.2432432432432432,0.5945945945945946,4.094594594594595,30.0,0.548,0.611,0.363,0.674,1954.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,CLE
200,LeBron James,2017-18,33.0,0.621,27.451219512195124,9.109756097560975,1.1829268292682926,1.4146341463414633,0.8658536585365854,4.2317073170731705,31.6,0.542,0.603,0.367,0.731,2251.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,1,0,0,0,0,0,0,CLE
201,LeBron James,2018-19,34.0,0.588,27.363636363636363,8.254545454545454,1.0363636363636364,1.309090909090909,0.6,3.581818181818182,31.6,0.51,0.582,0.339,0.665,1505.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,0,0,1,0,0,0,LAL
202,LeBron James,2019-20,35.0,0.577,25.34328358208955,10.208955223880597,0.9850746268656716,1.164179104477612,0.5373134328358209,3.8955223880597014,31.5,0.493,0.564,0.348,0.693,1698.0,2004,2018,F-G,207.264,250.0,"December 30, 1984",,0,0,1,0,0,0,0,0,LAL
203,Paul Pierce,1999-00,22.0,0.55,19.54794520547945,3.0273972602739727,1.1369863013698631,2.0821917808219177,0.8493150684931506,2.4383561643835616,24.8,0.442,0.476,0.343,0.798,1427.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
204,Paul Pierce,2000-01,23.0,0.563,25.25609756097561,3.0853658536585367,1.146341463414634,1.6829268292682926,0.8414634146341463,3.1951219512195124,30.6,0.454,0.478,0.383,0.745,2071.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
205,Paul Pierce,2001-02,24.0,0.57,26.146341463414632,3.182926829268293,0.9878048780487805,1.8780487804878048,1.048780487804878,2.9390243902439024,29.3,0.442,0.461,0.404,0.809,2144.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,0,0,1,0,BOS
206,Paul Pierce,2002-03,25.0,0.532,25.924050632911392,4.417721518987341,1.3417721518987342,1.759493670886076,0.7848101265822784,3.6455696202531644,33.2,0.416,0.454,0.302,0.802,2048.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,0,0,1,0,BOS
207,Paul Pierce,2003-04,26.0,0.517,22.95,5.125,0.8625,1.6375,0.65,3.7875,30.5,0.402,0.438,0.299,0.819,1836.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,0,0,1,0,BOS
208,Paul Pierce,2004-05,27.0,0.583,21.573170731707318,4.2439024390243905,0.9512195121951219,1.6219512195121952,0.47560975609756095,2.8048780487804876,26.6,0.455,0.481,0.37,0.822,1769.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
209,Paul Pierce,2005-06,28.0,0.582,26.78481012658228,4.746835443037975,0.9746835443037974,1.3544303797468353,0.43037974683544306,3.4556962025316458,31.2,0.471,0.503,0.354,0.772,2116.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
210,Paul Pierce,2006-07,29.0,0.571,24.95744680851064,4.127659574468085,0.8297872340425532,1.0212765957446808,0.2765957446808511,3.234042553191489,30.7,0.439,0.463,0.389,0.796,1173.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,0,0,1,0,BOS
211,Paul Pierce,2007-08,30.0,0.599,19.625,4.5375,0.6625,1.2625,0.45,2.7625,24.8,0.464,0.499,0.392,0.843,1570.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
212,Paul Pierce,2008-09,31.0,0.582,20.469135802469136,3.6296296296296298,0.691358024691358,0.9876543209876543,0.3333333333333333,2.814814814814815,25.4,0.457,0.48,0.391,0.83,1658.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
213,Paul Pierce,2009-10,32.0,0.613,18.253521126760564,3.0704225352112675,0.5492957746478874,1.1830985915492958,0.43661971830985913,2.3380281690140845,23.8,0.472,0.497,0.414,0.852,1296.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
214,Paul Pierce,2010-11,33.0,0.62,18.8875,3.25,0.425,1.0,0.6375,2.1375,24.0,0.497,0.547,0.374,0.86,1511.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
215,Paul Pierce,2011-12,34.0,0.567,19.360655737704917,4.491803278688525,0.6065573770491803,1.1475409836065573,0.4262295081967213,2.8360655737704916,28.1,0.443,0.476,0.366,0.852,1181.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
216,Paul Pierce,2012-13,35.0,0.559,18.571428571428573,4.805194805194805,0.5844155844155844,1.0909090909090908,0.38961038961038963,2.779220779220779,27.4,0.436,0.466,0.38,0.787,1430.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BOS
217,Paul Pierce,2013-14,36.0,0.595,13.466666666666667,2.3733333333333335,0.3466666666666667,1.1466666666666667,0.41333333333333333,2.04,22.4,0.451,0.507,0.373,0.826,1010.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,BRK
218,Paul Pierce,2014-15,37.0,0.58,11.89041095890411,1.9726027397260273,0.6164383561643836,0.6301369863013698,0.3287671232876712,1.2602739726027397,19.9,0.447,0.496,0.389,0.781,868.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,WAS
219,Paul Pierce,2015-16,38.0,0.489,6.132352941176471,1.0441176470588236,0.17647058823529413,0.4852941176470588,0.25,0.8529411764705882,17.8,0.363,0.445,0.31,0.818,417.0,1999,2017,F-G,204.216,235.0,"October 13, 1977",University of Kansas,0,0,0,0,1,0,0,0,LAC
